vacc_id,vacc_name,vacc_vocab,disease1,disease2,disease3,disease4,disease5,disease6,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,mechanism6
"40213265","adenovirus vaccine, type 4, live, oral","CVX",,,,,,"adenovirus",,,,,,"adenovirus live"
"40213266","adenovirus vaccine, type 7, live, oral","CVX",,,,,,"adenovirus",,,,,,"adenovirus live"
"40213267","adenovirus vaccine, unspecified formulation","CVX",,,,,,"adenovirus",,,,,,
"40213264","Adenovirus, type 4 and type 7, live, oral","CVX",,,,,,"adenovirus",,,,,,"adenovirus live"
"40213268","anthrax vaccine","CVX","anthrax",,,,,,,,,,,
"40213275","cholera vaccine, unspecified formulation","CVX","cholera",,,,,,,,,,,
"40213278","dengue fever vaccine","CVX",,,,,,"dengue",,,,,,
"40213284","Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus, Haemophilus b Conjugate (Meningococcal Protein Conjugate), and Hepatitis B (Recombinant) Vaccine.","CVX","diphtheria","tetanus","pertussis","poliovirus","hepatitis b","haemophilus influenza","diphtheria toxoid","tetanus toxoid","acellular pertussis","poliovirus inactivated","hepatitis b recombinant","haemophilus influenza conjugate"
"40213280","diphtheria and tetanus toxoids, adsorbed for pediatric use","CVX","diphtheria","tetanus",,,,,"diphtheria toxoid","tetanus toxoid",,,,
"40213279","diphtheria antitoxin","CVX","diphtheria",,,,,,"diphtheria antitoxin",,,,,
"724900","Diphtheria, pertussis, tetanus, hepatitis B, Haemophilus Influenza Type b, (Pentavalent)","CVX","diphtheria","tetanus","pertussis",,"hepatitis b","haemophilus influenza",,,,,,
"40213281","diphtheria, tetanus toxoids and acellular pertussis vaccine","CVX","diphtheria","tetanus","pertussis",,,,"diphtheria toxoid","tetanus toxoid","acellular pertussis",,,
"40213282","diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens","CVX","diphtheria","tetanus","pertussis",,,,"diphtheria toxoid","tetanus toxoid","acellular pertussis",,,
"40213289","Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated","CVX","diphtheria","tetanus","pertussis","poliovirus",,,"diphtheria toxoid","tetanus toxoid","acellular pertussis","poliovirus inactivated",,
"40213288","diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)","CVX","diphtheria","tetanus","pertussis","poliovirus",,"haemophilus influenza","diphtheria toxoid","tetanus toxoid","acellular pertussis","poliovirus inactivated",,"haemophilus influenza conjugate"
"40213283","diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation","CVX","diphtheria","tetanus","pertussis",,,,"diphtheria toxoid","tetanus toxoid","acellular pertussis",,,
"40213291","diphtheria, tetanus toxoids and pertussis vaccine","CVX","diphtheria","tetanus","pertussis",,,,"diphtheria toxoid","tetanus toxoid",,,,
"724894","Diphtheria, Tetanus, Poliomyelitis adsorbed","CVX","diphtheria","tetanus",,"poliovirus",,,,,,,,
"40213287","DTaP-Haemophilus influenzae type b conjugate vaccine","CVX","diphtheria","tetanus","pertussis",,,"haemophilus influenza",,,"acellular pertussis",,,"haemophilus influenza conjugate"
"40213286","DTaP-hepatitis B and poliovirus vaccine","CVX","diphtheria","tetanus","pertussis","poliovirus","hepatitis b",,,,"acellular pertussis",,,
"40213293","DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine","CVX","diphtheria","tetanus","pertussis",,"hepatitis b","haemophilus influenza",,,"whole cell pertussis",,,"haemophilus influenza conjugate"
"40213292","DTP-Haemophilus influenzae type b conjugate vaccine","CVX","diphtheria","tetanus","pertussis",,,"haemophilus influenza",,,"whole cell pertussis",,,"haemophilus influenza conjugate"
"40213317","Haemophilus influenzae type b conjugate and Hepatitis B vaccine","CVX",,,,,"hepatitis b","haemophilus influenza",,,,,,"haemophilus influenza conjugate"
"40213316","Haemophilus influenzae type b vaccine, conjugate unspecified formulation","CVX",,,,,,"haemophilus influenza",,,,,,"haemophilus influenza conjugate"
"40213312","Haemophilus influenzae type b vaccine, HbOC conjugate","CVX",,,,,,"haemophilus influenza",,,,,,"haemophilus influenza conjugate"
"40213313","Haemophilus influenzae type b vaccine, PRP-D conjugate","CVX",,,,,,"haemophilus influenza",,,,,,"haemophilus influenza conjugate"
"40213314","Haemophilus influenzae type b vaccine, PRP-OMP conjugate","CVX",,,,,,"haemophilus influenza",,,,,,"haemophilus influenza conjugate"
"40213315","Haemophilus influenzae type b vaccine, PRP-T conjugate","CVX",,,,,,"haemophilus influenza",,,,,,"haemophilus influenza conjugate"
"40213294","hantavirus vaccine","CVX",,,,,,,,,,,,
"40213298","Hep A, live attenuated-IM","CVX","hepatitis a",,,,,,"hepatitis a live",,,,,
