id_1,relationship,id_2
0,Is a,1
0,Is a,2
0,Is a,3
0,Is a,4
0,Is a,5
0,Is a,6
0,Is a,7
0,Is a,8
0,Is a,9
0,Is a,10
0,Is a,11
0,Is a,12
0,Is a,13
0,Is a,14
0,Is a,15
0,Is a,16
0,Is a,17
0,Is a,18
0,Is a,19
0,Is a,20
0,Is a,21
0,Is a,22
0,Is a,23
0,Is a,24
0,Is a,25
0,Is a,26
0,Is a,27
0,Is a,28
0,Is a,29
0,Is a,30
0,Is a,31
0,Is a,32
0,Is a,33
0,Is a,34
0,Is a,35
0,Is a,36
0,Is a,37
0,Is a,38
1,Is a,39
2,Is a,90
3,Is a,90
4,Is a,48
5,Is a,48
6,Is a,90
7,Is a,89
8,Is a,40
8,Is a,41
8,Is a,42
9,Is a,53
10,Is a,53
10,Is a,82
11,Is a,90
12,Is a,90
13,Is a,90
14,Is a,54
15,Is a,54
16,Is a,90
17,Is a,43
17,Is a,65
18,Is a,79
19,Is a,79
20,Is a,79
21,Is a,44
21,Is a,45
21,Is a,77
22,Is a,46
22,Is a,69
23,Is a,90
24,Is a,57
25,Is a,57
26,Is a,83
27,Is a,90
28,Is a,47
29,Is a,90
30,Is a,71
31,Is a,71
32,Is a,71
33,Is a,71
34,Is a,65
35,Is a,65
36,Is a,58
37,Is a,58
38,Is a,90
39,Is a,90
40,Is a,49
40,Is a,50
40,Is a,59
41,Is a,49
41,Is a,51
41,Is a,62
42,Is a,52
42,Is a,59
42,Is a,62
43,Is a,55
43,Is a,56
44,Is a,79
45,Is a,79
45,Is a,85
46,Is a,88
47,Is a,90
48,Is a,90
49,Is a,60
49,Is a,66
49,Is a,76
50,Is a,82
51,Is a,61
51,Is a,66
51,Is a,78
52,Is a,67
52,Is a,78
53,Is a,90
54,Is a,90
55,Is a,63
55,Is a,70
56,Is a,64
56,Is a,70
57,Is a,90
58,Is a,90
59,Is a,67
59,Is a,68
59,Is a,76
60,Is a,69
60,Is a,75
61,Is a,83
62,Is a,76
62,Is a,78
63,Is a,90
64,Is a,90
65,Is a,90
66,Is a,72
66,Is a,75
66,Is a,84
67,Is a,82
67,Is a,84
68,Is a,82
68,Is a,85
69,Is a,77
69,Is a,81
70,Is a,90
71,Is a,90
72,Is a,73
72,Is a,74
72,Is a,86
73,Is a,89
74,Is a,87
75,Is a,88
76,Is a,81
76,Is a,84
77,Is a,85
78,Is a,80
78,Is a,84
79,Is a,90
80,Is a,83
80,Is a,86
81,Is a,85
81,Is a,88
82,Is a,90
83,Is a,90
84,Is a,86
84,Is a,88
85,Is a,90
86,Is a,87
86,Is a,89
87,Is a,90
88,Is a,90
89,Is a,90
