id,concept_name
0,D_adenovirus; D_anthrax; D_cholera; D_covid_19; D_dengue; D_diphtheria; D_tetanus; D_pertussis; D_haemophilus_influenza; D_hepatitis_b; D_influenza; D_poliovirus; D_hepatitis_a; D_hepatitis_c; D_hepatitis_e; D_human_papilomavirus; D_japanese_encephalitis; D_leishmaniasis; D_leprosy; D_malaria; D_measles; D_rubella; D_mumps; D_varicella; D_meningococcal; D_parainfluenza; D_plague; D_pneumococcal; D_rabies; D_rotavirus; D_smallpox; D_tick_borne_encephalitis; D_tularemia; D_typhoid; D_Venezuelan_equine_encephalitis; D_yellow_fever
1,D_adenovirus
2,D_anthrax
3,D_cholera
4,D_covid_19
5,D_dengue
6,D_diphtheria; D_tetanus; D_pertussis; D_influenza
7,D_diphtheria; D_tetanus; D_pertussis; D_haemophilus_influenza; D_hepatitis_b; D_poliovirus
8,D_hepatitis_b; D_hepatitis_a
9,D_hepatitis_c
10,D_hepatitis_e
11,D_human_papilomavirus
12,D_japanese_encephalitis
13,D_leishmaniasis
14,D_leprosy
15,D_malaria
16,D_measles; D_rubella; D_mumps; D_varicella
17,D_pertussis; D_haemophilus_influenza; D_hepatitis_b; D_poliovirus; D_meningococcal
18,D_parainfluenza
19,D_plague
20,D_pneumococcal
21,D_rabies
22,D_rotavirus
23,D_smallpox
24,D_tick_borne_encephalitis
25,D_tularemia
26,D_typhoid
27,D_Venezuelan_equine_encephalitis
28,D_yellow_fever
29,D_diphtheria; D_tetanus; D_pertussis; D_haemophilus_influenza; D_hepatitis_b
30,D_influenza
31,D_diphtheria; D_tetanus; D_pertussis; D_haemophilus_influenza; D_poliovirus
32,D_diphtheria; D_tetanus; D_pertussis; D_hepatitis_b; D_poliovirus
33,D_pertussis; D_haemophilus_influenza; D_hepatitis_b; D_poliovirus
34,D_hepatitis_a
35,D_measles; D_rubella; D_mumps
36,D_varicella
37,D_haemophilus_influenza; D_meningococcal
38,D_diphtheria; D_tetanus; D_pertussis; D_hepatitis_b
39,D_pertussis; D_haemophilus_influenza; D_hepatitis_b
40,D_pertussis; D_haemophilus_influenza; D_poliovirus
41,D_pertussis; D_hepatitis_b; D_poliovirus
42,D_measles; D_rubella
43,D_rubella; D_mumps
44,D_meningococcal
45,D_diphtheria; D_tetanus; D_pertussis; D_haemophilus_influenza
46,D_pertussis; D_hepatitis_b
47,D_haemophilus_influenza; D_hepatitis_b
48,D_diphtheria; D_tetanus; D_pertussis; D_poliovirus
49,D_measles
50,D_mumps
51,D_pertussis; D_haemophilus_influenza
52,D_diphtheria; D_tetanus; D_poliovirus
53,D_pertussis; D_poliovirus
54,D_rubella
55,D_hepatitis_b
56,D_poliovirus
57,D_diphtheria; D_tetanus; D_pertussis
58,D_haemophilus_influenza
59,D_diphtheria; D_tetanus
60,D_pertussis
61,D_diphtheria
62,D_tetanus
63,
