id_1,relationship,id_2
0,Is a,1
0,Is a,2
0,Is a,3
0,Is a,4
0,Is a,5
0,Is a,6
0,Is a,7
0,Is a,8
0,Is a,9
0,Is a,10
0,Is a,11
0,Is a,12
0,Is a,13
0,Is a,14
0,Is a,15
0,Is a,16
0,Is a,17
0,Is a,18
0,Is a,19
0,Is a,20
0,Is a,21
0,Is a,22
0,Is a,23
0,Is a,24
0,Is a,25
0,Is a,26
0,Is a,27
0,Is a,28
1,Is a,63
2,Is a,63
3,Is a,63
4,Is a,63
5,Is a,63
6,Is a,30
6,Is a,57
7,Is a,29
7,Is a,31
7,Is a,32
7,Is a,33
8,Is a,34
8,Is a,55
9,Is a,63
10,Is a,63
11,Is a,63
12,Is a,63
13,Is a,63
14,Is a,63
15,Is a,63
16,Is a,35
16,Is a,36
17,Is a,33
17,Is a,37
18,Is a,63
19,Is a,63
20,Is a,63
21,Is a,63
22,Is a,63
23,Is a,63
24,Is a,63
25,Is a,63
26,Is a,63
27,Is a,63
28,Is a,63
29,Is a,38
29,Is a,39
29,Is a,45
30,Is a,63
31,Is a,40
31,Is a,45
31,Is a,48
32,Is a,38
32,Is a,41
32,Is a,48
33,Is a,39
33,Is a,40
33,Is a,41
34,Is a,63
35,Is a,42
35,Is a,43
36,Is a,63
37,Is a,44
37,Is a,58
38,Is a,46
38,Is a,57
39,Is a,46
39,Is a,47
39,Is a,51
40,Is a,51
40,Is a,53
41,Is a,46
41,Is a,53
42,Is a,49
42,Is a,54
43,Is a,50
43,Is a,54
44,Is a,63
45,Is a,51
45,Is a,57
46,Is a,55
46,Is a,60
47,Is a,55
47,Is a,58
48,Is a,52
48,Is a,53
48,Is a,57
49,Is a,63
50,Is a,63
51,Is a,58
51,Is a,60
52,Is a,56
52,Is a,59
53,Is a,56
53,Is a,60
54,Is a,63
55,Is a,63
56,Is a,63
57,Is a,59
57,Is a,60
58,Is a,63
59,Is a,61
59,Is a,62
60,Is a,63
61,Is a,63
62,Is a,63
