id_1,relationship,id_2
0,Is a,1
0,Is a,2
0,Is a,3
0,Is a,4
0,Is a,5
0,Is a,6
0,Is a,7
0,Is a,8
0,Is a,9
0,Is a,10
0,Is a,11
0,Is a,12
0,Is a,13
0,Is a,14
0,Is a,15
0,Is a,16
0,Is a,17
0,Is a,18
0,Is a,19
0,Is a,20
0,Is a,21
0,Is a,22
0,Is a,23
0,Is a,24
0,Is a,25
0,Is a,26
0,Is a,27
0,Is a,28
0,Is a,29
0,Is a,30
0,Is a,31
0,Is a,32
0,Is a,33
0,Is a,34
0,Is a,35
0,Is a,36
0,Is a,37
0,Is a,38
0,Is a,39
0,Is a,40
0,Is a,41
0,Is a,42
0,Is a,43
0,Is a,44
0,Is a,45
0,Is a,46
0,Is a,47
0,Is a,48
0,Is a,49
0,Is a,50
0,Is a,51
0,Is a,52
0,Is a,53
0,Is a,54
0,Is a,55
0,Is a,56
0,Is a,57
0,Is a,58
0,Is a,59
0,Is a,60
0,Is a,61
0,Is a,62
0,Is a,63
0,Is a,64
0,Is a,65
0,Is a,66
0,Is a,67
0,Is a,68
0,Is a,69
0,Is a,70
0,Is a,71
0,Is a,72
0,Is a,73
0,Is a,74
0,Is a,75
0,Is a,76
0,Is a,77
0,Is a,78
0,Is a,79
0,Is a,80
0,Is a,81
0,Is a,82
0,Is a,88
0,Is a,98
1,Is a,104
2,Is a,104
3,Is a,105
4,Is a,105
5,Is a,106
5,Is a,121
6,Is a,83
7,Is a,84
7,Is a,85
8,Is a,137
8,Is a,155
9,Is a,138
10,Is a,138
11,Is a,138
12,Is a,86
13,Is a,87
14,Is a,123
15,Is a,123
16,Is a,123
17,Is a,107
18,Is a,107
19,Is a,108
20,Is a,106
20,Is a,108
21,Is a,106
21,Is a,124
22,Is a,124
22,Is a,162
23,Is a,122
23,Is a,124
24,Is a,109
25,Is a,109
26,Is a,139
27,Is a,139
28,Is a,139
29,Is a,139
30,Is a,139
31,Is a,85
31,Is a,161
32,Is a,110
33,Is a,110
34,Is a,132
35,Is a,89
35,Is a,90
35,Is a,91
36,Is a,92
37,Is a,93
38,Is a,94
39,Is a,95
40,Is a,163
41,Is a,156
41,Is a,162
42,Is a,125
42,Is a,156
43,Is a,156
44,Is a,156
45,Is a,113
46,Is a,113
47,Is a,114
48,Is a,114
49,Is a,163
50,Is a,163
51,Is a,163
52,Is a,133
52,Is a,162
53,Is a,115
54,Is a,115
54,Is a,116
55,Is a,148
56,Is a,134
57,Is a,134
58,Is a,96
59,Is a,142
60,Is a,97
60,Is a,99
61,Is a,100
62,Is a,128
63,Is a,128
64,Is a,128
65,Is a,101
66,Is a,135
67,Is a,135
68,Is a,135
69,Is a,135
70,Is a,119
71,Is a,119
72,Is a,127
73,Is a,120
74,Is a,120
75,Is a,131
76,Is a,131
77,Is a,131
78,Is a,143
79,Is a,102
80,Is a,103
81,Is a,91
81,Is a,144
82,Is a,144
83,Is a,121
83,Is a,162
84,Is a,163
85,Is a,163
86,Is a,138
87,Is a,137
87,Is a,157
88,Is a,146
89,Is a,132
90,Is a,111
90,Is a,132
91,Is a,158
92,Is a,112
92,Is a,162
93,Is a,147
93,Is a,162
94,Is a,147
95,Is a,147
96,Is a,116
96,Is a,134
97,Is a,117
97,Is a,118
97,Is a,126
97,Is a,127
98,Is a,142
98,Is a,162
99,Is a,126
100,Is a,150
100,Is a,154
101,Is a,151
102,Is a,143
103,Is a,143
103,Is a,144
104,Is a,145
105,Is a,145
105,Is a,162
106,Is a,163
107,Is a,122
107,Is a,157
108,Is a,163
109,Is a,137
109,Is a,153
110,Is a,160
111,Is a,155
111,Is a,158
112,Is a,163
113,Is a,156
114,Is a,156
115,Is a,125
115,Is a,133
116,Is a,163
117,Is a,140
117,Is a,162
118,Is a,141
118,Is a,162
119,Is a,129
119,Is a,162
120,Is a,130
120,Is a,162
121,Is a,163
122,Is a,163
123,Is a,146
124,Is a,163
125,Is a,163
126,Is a,140
126,Is a,141
126,Is a,149
127,Is a,149
127,Is a,162
128,Is a,150
128,Is a,162
129,Is a,163
130,Is a,163
131,Is a,136
132,Is a,158
133,Is a,163
134,Is a,148
135,Is a,151
136,Is a,163
137,Is a,163
138,Is a,155
138,Is a,159
139,Is a,153
139,Is a,159
140,Is a,163
141,Is a,163
142,Is a,163
143,Is a,158
144,Is a,158
145,Is a,163
146,Is a,157
146,Is a,159
147,Is a,163
148,Is a,163
149,Is a,163
150,Is a,163
151,Is a,152
151,Is a,154
152,Is a,163
153,Is a,163
154,Is a,163
155,Is a,163
156,Is a,163
157,Is a,163
158,Is a,160
159,Is a,163
160,Is a,161
161,Is a,163
162,Is a,163
